smiles_id,group_id,smiles
31623_33,C_0,[CH]O[C@H](C(C)C)[C@H](C)[C@@H](O)C(C)C
31623_34,C_0,[CH]O[C@H](C(C)C)[C@H](C)[C@@H](O)[C@@H](C)CC(C)(C)O
31623_35,O_0,[C]C[C@H](C)[C@H](O)[C@@H](C)[C@@H]([CH])O
31639_0,C_0,CC[C@@H](OC)C(C)C
31639_1,C_0,C=C[C@H](CO)[C@@H](CC)OC(C)=O
31639_2,C_0,[CH]OC[C@@H](/C=C/C)[C@@H](CC)OC(=O)C=C
31639_3,O_0,[CH]/C=C/C(=O)O[C@H](CC)[C@H](C=C)CO
31639_4,C_0,[CH][C@@H](C)/C=C/C(=O)O[C@H](CC)C(C)C
31639_5,O_0,[CH]/C=C/C(=O)O[C@@H]([CH])C
31639_6,C_0,[CH][C@H](O)[C@@H](C)/C=C/C(=O)O[C@@H]([CH])C
31639_7,C_0,[CH]OC(=O)/C=C/[C@H](C)[C@@H](O[CH])C(C)C
31639_8,C_0,[CH]C[C@H](C)[C@H](O[C@@H]([CH])O)[C@@H](C)/C=C/C(=O)O
31639_9,C_0,[CH]O[C@@H](C(C)C)[C@@H](C)/C=C/C
31639_10,C_0,[CH]O[C@@H](O[C@H]([C@@H](C)/C=C/C)[C@@H](C)CC(C)C)[C@@H]([CH])O
31639_11,O_0,[CH]C[C@H](C)[C@H](O[C@@H]1O[C@H](C)C[C@H]([N])[C@H]1O)[C@@H](C)C=C
31639_12,C_0,CC(C)C(O[C@@H]1O[C@H](C)C[C@H](N(C)C)[C@H]1O)C(C)C
31639_13,O_0,[CH]C([CH])O[C@@H]1O[C@H](C)C[C@H]([N])[C@H]1O
31639_14,C_0,[CH]O[C@@H]1O[C@H](C)C[C@H](N(C)C)[C@H]1O
31639_15,C_0,C[C@@H]1C[C@H]([N])[CH][C@H](O)O1
31639_16,C_0,C[C@@H]1C[C@H](N(C)C)[C@@H](O)[C@H](O)O1
31639_17,C_0,[CH]O[C@@H]1O[C@H](C)C[C@H](N(C)C)[C@H]1O
31639_18,C_0,[CH]C([CH])O[C@@H]1O[C@H](C)C[C@H](N(C)C)[C@H]1O
31639_19,O_0,[CH]O[C@@H]1O[CH]C[C@H](N(C)C)[C@H]1O
31639_20,N_0,C[C@@H]1C[C@H](N(C)C)[C@@H](O)[C@H](O)O1
31639_21,C_0,[CH]C[C@@H]([C@H]([CH])O)N(C)C
31639_22,C_0,[CH]C[C@@H]([C@H]([CH])O)N(C)C
31639_23,C_0,[CH][C@@H](O)O[C@H]([C@@H](C)C=C)[C@@H](C)C[C@@H](C)C(C)=O
31639_24,C_0,[CH]O[C@H](C(C)C)[C@@H](C)CC(C)C
31639_25,C_0,[CH]O[C@H](C(C)C)[C@@H](C)C[C@@H](C)C(=O)C=C
31639_26,C_0,[CH][C@@H](O)[C@@H](C)C[C@@H](C)C(=O)/C=C/C
31639_27,C_0,[CH][C@@H](C)C[C@@H](C)C(=O)C=C
31639_28,C_0,[CH][C@@H](C)C[C@@H](C)C(=O)/C=C/C=C
31639_29,O_0,[CH]C[C@@H](C)C(=O)/C=C/C
31639_30,C_0,[CH]/C=C/C=C/C(=O)[C@H](C)C[CH]
31639_31,C_0,[CH][C@@H](C)/C=C/C=C/C(=O)C(C)C
31639_32,C_0,[CH]C(=O)/C=C/C=C/[C@H](CO)[C@@H](C)O
31639_33,C_0,[CH]OC[C@@H](/C=C/C=C/C)[C@@H](CC)OC
31639_34,C_0,[CH][C@@H](O)OC[C@@H](/C=C/C=C)[C@@H](CC)OC(C)=O
31639_35,C_0,[CH]O[C@@H](OC[C@@H](/C=C/C)[C@@H](CC)OC)[C@@H]([CH])O
31639_36,O_0,C=C[C@H](CO[C@@H]1O[C@H](C)[CH][C@@H](O)[C@H]1OC)[C@@H](C)O
31639_37,C_0,[CH][C@H](C)CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](O)[C@H]1OC
31639_38,O_0,[CH]CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](O)[C@H]1OC
31639_39,C_0,CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](O)[C@H]1O
31639_40,C_0,C[C@H]1O[C@@H](O)[CH][C@H](O)[C@@H]1O
31639_41,C_0,CO[C@@H]1[C@H](O)[C@H](O)[C@@H](C)O[C@H]1O
31639_42,O_0,C[C@H]1O[CH][C@H](O)[C@H](O)[C@@H]1O
31639_43,C_0,CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](O)[C@H]1OC
31639_44,O_1,CO[C@@H]1[C@H](O)[C@H](O)[C@@H](C)O[C@H]1O
31639_45,C_0,[CH]CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](O)[C@H]1OC
31639_46,O_0,CO[C@@H]1O[CH][C@@H](O)[C@@H](O)[C@H]1OC
31639_47,C_0,[CH][C@@H](O)[C@@H](OC)C(O)O
31643_0,C_0,CC[C@@H](OC)C(C)C
